time,x,y,id,risk-so-far,total-risk
5.84,2.2488,3.7013,3,0.0,0.0
5.84,2.9056,1.378,4,0.0,0.0
5.84,3.1179,2.0951,5,0.0,0.00010643444897329157
5.84,4.0839,3.0724,6,0.0,0.0011719952137613232
5.84,4.574,1.5019,7,0.0,0.0
5.88,1.7005,1.8921,1,0.0,0.0
5.88,2.065,3.0712,2,0.0,0.0
5.88,2.1892,3.7055,3,0.0,0.0
5.88,2.8492,1.3675,4,0.0,0.0
5.88,3.0455,2.092,5,0.0,0.00010643444897329157
5.88,4.0212,3.0653,6,0.0,0.0011719952137613232
5.88,4.4983,1.4973,7,0.0,0.0
5.92,1.6469,1.8973,1,0.0,0.0
5.92,2.0186,3.0678,2,0.0,0.0
5.92,2.132,3.709,3,0.0,0.0
5.92,2.7854,1.3538,4,0.0,0.0
5.92,2.9721,2.0899,5,0.0,0.00010643444897329157
5.92,3.9402,3.055,6,0.0,0.0011719952137613232
5.92,4.4248,1.4877,7,0.0,0.0
5.96,1.5927,1.8994,1,0.0,0.0
5.96,1.9678,3.062,2,0.0,0.0
5.96,2.0694,3.7178,3,0.0,0.0
5.96,2.7306,1.344,4,0.0,0.0
5.96,2.9,2.089,5,0.0,0.00010643444897329157
5.96,3.9089,3.0489,6,0.0,0.0011719952137613232
5.96,4.3538,1.4909,7,0.0,0.0
6.0,1.535,1.9068,1,0.0,0.0
6.0,1.9127,3.0505,2,0.0,0.0
6.0,2.0029,3.7215,3,0.0,0.0
6.0,2.6773,1.3352,4,0.0,0.0
6.0,2.8305,2.0857,5,0.0,0.00010643444897329157
6.0,3.8541,3.0394,6,0.0,0.0011719952137613232
6.0,4.2803,1.4939,7,0.0,0.0
6.04,1.4782,1.9126,1,0.0,0.0
6.04,1.8546,3.042,2,0.0,0.0
6.04,1.941,3.7168,3,0.0,0.0
6.04,2.6249,1.3268,4,0.0,0.0
6.04,2.774,2.0905,5,0.0,0.00010643444897329157
6.04,3.8004,3.0348,6,0.0,0.0011719952137613232
6.04,4.2068,1.4944,7,0.0,0.0
6.08,1.4269,1.9207,1,0.0,0.0
6.08,1.7974,3.0338,2,0.0,0.0
6.08,1.8835,3.7159,3,0.0,0.0
