point cloud with 2216 points in dimension 2
value range: [3.57628e-07,0.84845]
distance matrix with 2216 points, using threshold at enclosing radius 0.430699
persistence intervals in dim 0:
 [0,9.59039e-05)
 [0,9.62615e-05)
 [0,9.64403e-05)
 [0,9.799e-05)
 [0,9.81092e-05)
 [0,9.83477e-05)
 [0,9.87053e-05)
 [0,9.90629e-05)
 [0,0.000100732)
 [0,0.00010103)
 [0,0.000101328)
 [0,0.000101507)
 [0,0.000102282)
 [0,0.000103474)
 [0,0.000103474)
 [0,0.000103533)
 [0,0.000103593)
 [0,0.000103593)
 [0,0.000103652)
 [0,0.00010401)
 [0,0.000106871)
 [0,0.000107408)
 [0,0.000107467)
 [0,0.000107706)
 [0,0.000108004)
 [0,0.000108004)
 [0,0.000108182)
 [0,0.000108242)
 [0,0.000108302)
 [0,0.000109375)
 [0,0.000109553)
 [0,0.000109613)
 [0,0.000109732)
 [0,0.000110328)
 [0,0.00011152)
 [0,0.000112176)
 [0,0.000112951)
 [0,0.000114322)
 [0,0.00011459)
 [0,0.000115871)
 [0,0.000116587)
 [0,0.000117421)
 [0,0.000118196)
 [0,0.000118375)
 [0,0.000118375)
 [0,0.000118911)
 [0,0.000118911)
 [0,0.00011909)
 [0,0.000119865)
 [0,0.000119984)
 [0,0.000120699)
 [0,0.000121057)
 [0,0.000121474)
 [0,0.00012219)
 [0,0.000123143)
 [0,0.00012368)
 [0,0.000124514)
 [0,0.000124872)
 [0,0.000125229)
 [0,0.000125647)
 [0,0.000127077)
 [0,0.000127912)
 [0,0.000129223)
 [0,0.000129879)
 [0,0.000130177)
 [0,0.00013119)
 [0,0.000131845)
 [0,0.00013262)
 [0,0.00013274)
 [0,0.000132799)
 [0,0.000133216)
 [0,0.000133693)
 [0,0.000134587)
 [0,0.000134706)
 [0,0.000135958)
 [0,0.00013715)
 [0,0.000138938)
 [0,0.000140309)
 [0,0.000140429)
 [0,0.000141203)
 [0,0.000141799)
 [0,0.000141919)
 [0,0.000141978)
 [0,0.000142008)
 [0,0.000142634)
 [0,0.000144184)
 [0,0.000145674)
 [0,0.000146627)
 [0,0.000147551)
 [0,0.000148237)
 [0,0.000148654)
 [0,0.000149131)
 [0,0.000150174)
 [0,0.000152409)
 [0,0.000152469)
 [0,0.000152469)
 [0,0.00015378)
 [0,0.000154376)
 [0,0.000156701)
 [0,0.000157952)
 [0,0.00015837)
 [0,0.000158846)
 [0,0.000158846)
 [0,0.000159979)
 [0,0.000160336)
 [0,0.000160515)
 [0,0.000160933)
 [0,0.000161231)
 [0,0.000162005)
 [0,0.00016284)
 [0,0.000163496)
 [0,0.000163972)
 [0,0.000168204)
 [0,0.000168443)
 [0,0.000169516)
 [0,0.000170469)
 [0,0.000171661)
 [0,0.000171959)
